range,sku,barcode,name,packaging_type,min_order_qty,filling
Sweet Disorder Core Range,SDP89,0 9421035910 484,Another Year Wiser,Bottle,1,Fruit balls
Sweet Disorder Core Range,SDP76,0 9421035910 262,Anti-aging Supplements,Bottle,1,Strawberry Gummy
Sweet Disorder Core Range,SDP40,0 9421905468 459,Anti-Fatigue Formula,Bottle,1,Wine Gums
Sweet Disorder Core Range,SDP81,0 9421035910385,A**hole antidote,Bottle,1,Hard fruit jubes
Sweet Disorder Core Range,SDP49,0 9421905468 930,Bear Hugs,Bottle,1,Gummy bears
Sweet Disorder Core Range,SDP70,0 9421035910 200,Booster Shots,Bottle,1,
Sweet Disorder Core Range,SDP75,0 9421035910 255,Brain Power Pills,Bottle,1,Wine Gums
Sweet Disorder Core Range,,,Bullshit Blockers,Jar,1,Humbugs
Sweet Disorder Core Range,,,Jar of hugs,Bottle,1,Peach & Apple rings
Sweet Disorder Core Range,SDP61,0 9421035910 064,Chill Pills,Bottle,1,Fizzies
Sweet Disorder Core Range,SDP107,0 9421035910774,Common Sense Substitute,Bottle,1,Acid drops
Sweet Disorder Core Range,,,Concrete Pills,Bottle,1,Acid drops
Sweet Disorder Core Range,,,Control Freak fizziies,Bottle,1,Fizzies
Sweet Disorder Core Range,SDP74,0 9421035910 248,Dad Bod Formula,Bottle,1,Cola Bottles
Sweet Disorder Core Range,SDP41,0 9421905468 466,Dad Joke Enhancers,Bottle,1,Black Balls
Sweet Disorder Core Range,SDP94,0 9421035910 538,Dumbfuckery Formula,Bottle,1,Granny Mints
Sweet Disorder Core Range,SDP99,0 9421035910 583,Energy Boosters,Bottle,1,Barley Sugar
Sweet Disorder Core Range,SDP48,0 9421905468 923,Fart Suppressants,Bottle,1,Licorice
Sweet Disorder Core Range,SDP112,0  9421035910910,FOMO Formula - NEW,Bottle,1,sour peach rings
Sweet Disorder Core Range,SDP95,0 9421035910 545,Fucktard Remedy,Bottle,1,Sour Cola
Sweet Disorder Core Range,,,Get Shit Done,Bottle,1,Fruit balls
Sweet Disorder Core Range,SDP100,0 9421035910729,G.O.A.T,Bottle,1,Butterscotch
Sweet Disorder Core Range,SDP18,0 9421905468 220,Grow Some Balls,Bottle,1,Black balls
Sweet Disorder Core Range,,,Grumpy Git Gummies,Bottle,1,Wine gums
Sweet Disorder Core Range,,,Hangover Remedy,Bottle,1,Sour Cola
Sweet Disorder Core Range,,,Hangry Pills,Bottle,1,Strawberry rock
Sweet Disorder Core Range,SDP55,0 9421035910 002,"Happy Wife, Happy Life",Bottle,1,Sour peach hearts
Sweet Disorder Core Range,SDP92,0 9421035910 514,Hot flush Formula,Bottle,1,Strawberry rock
Sweet Disorder Core Range,SDP24,0 9421905468 510,I like you more than a lot Lozenges,Bottle,1,Wine Gums
Sweet Disorder Core Range,SDP84,0 9421035910408,Jar of Happiness,Bottle,1,Sour peach hearts
Sweet Disorder Core Range,,,Laughter Lozenges,Bottle,1,Large jelly beans
Sweet Disorder Core Range,,,Legend Lozenges,Bottle,1,Large jelly beans
Sweet Disorder Core Range,SDP69,0 9421035910 194,Love Bites,Bottle,1,Jersey Caramels
Sweet Disorder Core Range,SDP113,0 9421035910 927,Man Flu Formula - NEW,Bottle,1,Humbugs
Sweet Disorder Core Range,,,Midlife Crisis Supplements,Bottle,1,Wine Gums
Sweet Disorder Core Range,SDP111,0 9421035910903,Man Look Remedy  - NEW,Bottle,1,Hard fruit jubes
Sweet Disorder Core Range,,,Mother Like No Other,Bottle,1,Sour peach hearts
Sweet Disorder Core Range,SDP97,0 9421035910 569,Mullet and Mo Enhancers,Bottle,1,Acid Drops
Sweet Disorder Core Range,SDP110,0 9421035910 897,Nozempic - NEW,Bottle,1,Butterscotch
Sweet Disorder Core Range,SDP17,0 9421905468 237,On-Purpose Pills,Bottle,1,
Sweet Disorder Core Range,SDP63,0 9421035910 088,Over the Hill Pills,Bottle,1,small jelly beans
Sweet Disorder Core Range,SDP19,0 9421905468 251,Perspective Pills,Bottle,1,
Sweet Disorder Core Range,SDP65,0 9421035910 101,Positivity Pills,Bottle,1,licorice delight
Sweet Disorder Core Range,SDP96,0 9421035910 552,Procrastination Pills,Bottle,1,Black balls
Sweet Disorder Core Range,SDP46,0 9421905468 893,Pure Heroine,Bottle,1,Fizzies
Sweet Disorder Core Range,SDP71,0 9421035910 217,Rapid Recovery,Bottle,1,Small jelly beans
Sweet Disorder Core Range,SDP64,0 9421035910 095,Rise to the occasion,Bottle,1,Blue Jelly Beans
Sweet Disorder Core Range,SDP68,0 9421035910 132,Road Rage Reducers,Bottle,1,Hard fruit jubes
Sweet Disorder Core Range,SDP87,0 9421035910 460,"Say""Yes"" Pills",Bottle,1,
Sweet Disorder Core Range,SDP88,0 9421035910 477,"Say ""No"" Pills",Bottle,1,
Sweet Disorder Core Range,SDP31,0 9421905468 589,Senior Moment Suppressants,Bottle,1,Granny Mints
Sweet Disorder Core Range,,,Shit Happens,Bottle,1,Small jelly beans
Sweet Disorder Core Range,SDP108,0 9421035910 873,Shits & Giggles,Bottle,1,Apple rings
Sweet Disorder Core Range,,,Smart Arse Suppressants,Bottle,1,Black Balls
Sweet Disorder Core Range,SDP93,0 9421035910 521,Snore Stoppers,Bottle,1,Fruit balls
Sweet Disorder Core Range,SDP33,0 9421905468 602,Stop the Whining Gums,Bottle,1,Wine Gums
Sweet Disorder Core Range,SDP25,0 9421035910 859,Stress Relievers,Bottle,1,Jersey Caramels
Sweet Disorder Core Range,SDP34,0 9421905468 619,Study Surge Supplement,Bottle,1,
Sweet Disorder Core Range,SDP20,0 9421905468 244,Suck It Up Candy,Bottle,1,Fizzies
Sweet Disorder Core Range,,,Superstar Fuel,Bottle,1,Hard fruit jubes
Sweet Disorder Core Range,,,Thanks a Million,Bottle,1,small Jelly Beans
Sweet Disorder Core Range,SDP90,0 9421035910 491,Three Little Words,Bottle,1,
Sweet Disorder Core Range,,,Tolerance Tablets,Bottle,1,Fizzies
Sweet Disorder Core Range,SDP103,0 9421035910 736,Total Badass,Bottle,1,Sour Cola
