name,sku,base_range,base_name,rank,units_total,inferred_base
Mother Like No Other Jar,SDP129J,Sweet Disorder Core Range,Mother Like No Other,29,485,
Stress Relievers Jar,SDP25J,Sweet Disorder Core Range,Stress Relievers,36,398,
Jar of Hugs,SDP39J,Sweet Disorder Core Range,Canned Hugs,38,391,
Thanks a Million Jar,SDP57J,Sweet Disorder Core Range,Thanks a Million,43,322,
Smart Arse Suppressants Jar,SDP01J,Sweet Disorder Core Range,Smart Arse Suppressants,59,245,
Get Shit Done Jar,SDP58J,Sweet Disorder Core Range,Get Shit Done,67,210,
Concrete Pills Jar,SDP62J,Sweet Disorder Core Range,Concrete Pills,73,183,
Hangover Remedy Jar,SDP66J,Sweet Disorder Core Range,Hangover Remedy,75,180,
Hangry Pills Jar,SDP72J,Sweet Disorder Core Range,Hangry Pills,77,172,
Midlife Crisis Jar,SDP78J,Sweet Disorder Core Range,Midlife Crisis Supplements,79,172,
Superstar Fuel Jar,SDP67J,Sweet Disorder Core Range,Superstar Fuel,96,155,
Control Freak Fizzies Jar,SDP15J,Sweet Disorder Core Range,Control Freak Fizzies,97,151,
Tolerance Tablets Jar,SDP12J,Sweet Disorder Core Range,Tolerance Tablets,110,119,
Grumpy Git Gummies Jar,SDP115J,Sweet Disorder Core Range,Grumpy Git Gummies,116,109,true
Laughter Lozenges Jar,SDP30J,Sweet Disorder Core Range,Laughter Lozenges,133,83,
Legend Lozenges Jar,SDP120,Sweet Disorder Core Range,Legend Lozenges,135,79,
Bogan Blockers Jar,SDK01J,Kiwi Range,Bogan Blockers,92,160,
