range,name,packaging,sku_nz,price_nz,sku_au,price_au,image_url,notes
Auto Ego Keyrings,24 with Stand,STAND,,168.00,,168.00,,
Auto Ego Keyrings,Always Filthy,RING,AEKR008,7.00,AAEKR008,7.00,https://sweetdisorder.co.nz/cdn/shop/files/ProductImages_KeyRings2026_0003_AlwaysFilthy.jpg?v=1773887324,
Auto Ego Keyrings,Best Ride Ever,RING,AEKR006,7.00,AAEKR006,7.00,https://sweetdisorder.co.nz/cdn/shop/files/ProductImages_KeyRings2026_0004_BestRideEver.jpg?v=1773887037,
Auto Ego Keyrings,Flash Bastard,RING,AEKR005,7.00,AAEKR005,7.00,https://sweetdisorder.co.nz/cdn/shop/files/ProductImages_KeyRings2026_0007_FlashBastard.jpg?v=1773887455,
Auto Ego Keyrings,High Maintenance,RING,AEKR001,7.00,AAEKR001,7.00,https://sweetdisorder.co.nz/cdn/shop/files/ProductImages_KeyRings2026_0002_HighMaintenance.jpg?v=1773886848,
Auto Ego Keyrings,My Best Asset,RING,AEKR004,7.00,AAEKR004,7.00,https://sweetdisorder.co.nz/cdn/shop/files/ProductImages_KeyRings2026_0006_BestAsset.jpg?v=1773887769,
Auto Ego Keyrings,Old Banger,RING,AEKR007,7.00,AAEKR007,7.00,https://sweetdisorder.co.nz/cdn/shop/files/ProductImages_KeyRings2026_0005_OldBanger.jpg?v=1773887248,
Auto Ego Keyrings,Rusty But Trusty,RING,AEKR003,7.00,AAEKR003,7.00,https://sweetdisorder.co.nz/cdn/shop/files/ProductImages_KeyRings2026_0008_RustyButTrusty.jpg?v=1773887139,
Auto Ego Keyrings,Size Does Matter,RING,AEKR002,7.00,AAEKR002,7.00,https://sweetdisorder.co.nz/cdn/shop/files/ProductImages_KeyRings2026_0001_SizeDoesMatter.jpg?v=1773886405,
Award Badges,Award Badges Display Stand (36pc),STAND,,259.20,,282.60,,
Award Badges,Best Dad,BADGE,,7.20,ASDAB14,7.85,https://sweetdisorder.co.nz/cdn/shop/files/ProductImages_Badges2026_0011_BestDad03.jpg?v=1773884282,
Award Badges,Best Mum,BADGE,,7.20,ASDAB13,7.85,https://sweetdisorder.co.nz/cdn/shop/files/ProductImages_Badges2026_0002_BestMum03.jpg?v=1773884169,
