range,sku,name,packaging_type,rank,units_total
Sweet Disorder Core Range,SDP106,Good On Ya,Bottle,65,211
Sweet Disorder Core Range,SDP101,Bah Humbug,Bottle,109,123
Sweet Disorder Core Range,SDP51,Ho Fricking Ho,Jar,154,54
Kiwi Range,SDK06,Kiwi Ingenuity Lumps,Bottle,171,35
Sweet Disorder Core Range,SDP54,Don't Sweat the Small Stuff,Jar,164,45
Sweet Disorder Core Range,SDP79,Couch Potato Supplements,Bottle,168,39
Sweet Disorder Core Range,SDP59,Blonde Moment Busters,Bottle,169,37
Sweet Disorder Core Range,SDP73,Pure Resilience,Bottle,177,33
Sweet Disorder Core Range,SDP27,Short Fuse Fizzies,Bottle,179,29
Kiwi Range,SDK13,You Egg,Bottle,184,23
Sweet Disorder Core Range,SDP08,Monday-itis Mood Booster,Bottle,190,19
Sweet Disorder Core Range,SDP44,Nutjob Nuggets,Bottle,192,18
Sweet Disorder Core Range,SDP82,Can of Worms,Bottle,193,17
Sweet Disorder Core Range,SDP26,HTFU Formula,Bottle,198,13
Sweet Disorder Core Range,SDP14,Comfort Zone Crushers,Bottle,208,5
Kiwi Range,SDK05,Rattle Your Dags Revitalisers,Bottle,210,5
Old Classics Range,CL09,Old Classics Irish Moss,Bottle,183,23
