range,sku,name,packaging_type,rank,units_total
Insulated Mugs,SDIM01,Total Legend Insulated Mug,MUG,90,163
Insulated Mugs,SDIM02,CEO of Everything Insulated Mug,MUG,100,137
Insulated Mugs,SDIM03,Bullshit Artist Insulated Mug,MUG,127,96
First Aid Kits,SDFAK-RED,First Aid Kit Red,BAG,82,168
First Aid Kits,SDFAK-ORA,First Aid Kit Orange,BAG,104,133
First Aid Kits,SDFAK-BLA,First Aid Kit Black,BAG,140,72
First Aid Kits,SDFAB,First Aid Kit Bag Red,BAG,129,92
Award Badges,SDAB14,Best Mum Award Badge,BADGE,118,104
Award Badges,SDAB07,Chief Badass Badge,BADGE,150,61
Award Badges,SDAB15,Best Dad Award Badge,BADGE,155,53
