name,image_url
Aries,https://sweetdisorder.co.nz/cdn/shop/files/Astrology-Range_Aries-03.jpg?v=1715213967
Taurus,https://sweetdisorder.co.nz/cdn/shop/files/Astrology-Range_Taurus-03.jpg?v=1715213948
Gemini,https://sweetdisorder.co.nz/cdn/shop/files/Astrology-Range_Gemini-03.jpg?v=1715213941
Cancer,https://sweetdisorder.co.nz/cdn/shop/files/Astrology-Range_Cancer-03.jpg?v=1715213946
Leo,https://sweetdisorder.co.nz/cdn/shop/files/Astrology-Range_Leo-03.jpg?v=1715213962
Virgo,https://sweetdisorder.co.nz/cdn/shop/files/Astrology-Range_Virgo-03.jpg?v=1715213943
Libra,https://sweetdisorder.co.nz/cdn/shop/files/Astrology-Range_Libra-03.jpg?v=1715213960
Scorpio,https://sweetdisorder.co.nz/cdn/shop/files/Astrology-Range_Scorpio-03.jpg?v=1715213953
Sagittarius,https://sweetdisorder.co.nz/cdn/shop/files/Astrology-Range_Sagittarius-03.jpg?v=1715213950
Capricorn,https://sweetdisorder.co.nz/cdn/shop/files/Astrology-Range_Capricorn-03.jpg?v=1715213955
Pisces,https://sweetdisorder.co.nz/cdn/shop/files/Astrology-Range_Pisces-03.jpg?v=1715213958
Best Friend Gift Box,https://sweetdisorder.co.nz/cdn/shop/files/Med-Gift-Box-BFF-02.jpg?v=1718425430
Birthday Gift Box,https://sweetdisorder.co.nz/cdn/shop/files/Med-Gift-Box-Senior-02.jpg?v=1718444493
Box of Love,https://sweetdisorder.co.nz/cdn/shop/files/Med-Gift-Box-Love-02.jpg?v=1718445227
Box of Shit,https://sweetdisorder.co.nz/cdn/shop/files/Med-Gift-Box-Shit-02.jpg?v=1718445304
BFF Formula,https://sweetdisorder.co.nz/cdn/shop/files/Valentines-Range_BFF-Formula-01.jpg?v=1718444012
Break Up Blues Busters,https://sweetdisorder.co.nz/cdn/shop/files/Valentines-Range_Break-Up-Blues-Busters-01.jpg?v=1718445536
Romance Revivers,https://sweetdisorder.co.nz/cdn/shop/files/Valentines-Range_Romance-Revivers-01.jpg?v=1718522629
Cod Help Me,https://sweetdisorder.co.nz/cdn/shop/files/Hunting_FishingRangeBags2026_0008_CodHelpMe01.jpg?v=1786769217
Pitch Me Up,https://sweetdisorder.co.nz/cdn/shop/files/Hunting_FishingRangeBags2026_0000_PitchMeUp01.jpg?v=1786769265
Nature Calls,https://sweetdisorder.co.nz/cdn/shop/files/Hunting_FishingRangeBags2026_0011_NatureCalls01.jpg?v=1786769179
The Buck Stops Here,https://sweetdisorder.co.nz/cdn/shop/files/Hunting_FishingRangeBags2026_0017_TheBuckStopsHere01.jpg?v=1786769019
Take A Hike,https://sweetdisorder.co.nz/cdn/shop/files/Hunting_FishingRangeBags2026_0014_TakeAHike01.jpg?v=1786769073
Leaf Me Alone,https://sweetdisorder.co.nz/cdn/shop/files/GardenRangeBags2026_0015_LeafMeAlone01.jpg?v=1786769333
Weed Killer,https://sweetdisorder.co.nz/cdn/shop/files/GardenRangeBags2026_0000_WeedKiller01.jpg?v=1786769665
Green Finger Fuel,https://sweetdisorder.co.nz/cdn/shop/files/GardenRangeBags2026_0009_GreenFingerFuel01.jpg?v=1786769464
Snip Happens,https://sweetdisorder.co.nz/cdn/shop/files/GardenRangeBags2026_0003_SnipHappens01.jpg?v=1786769584
Thyme Out,https://sweetdisorder.co.nz/cdn/shop/files/GardenRangeBags2026_0012_ThymeOut01.jpg?v=1786769383
Pot Head,https://sweetdisorder.co.nz/cdn/shop/files/GardenRangeBags2026_0006_PotHead01.jpg?v=1786769132
For Fart Sake Candle,https://sweetdisorder.co.nz/cdn/shop/files/Scent-Dispensary_Product-Images_Fart-Sake-Front.jpg?v=1730249189
Shit Happens Candle,https://sweetdisorder.co.nz/cdn/shop/files/Scent-Dispensary_Product-Images_Shit-Happens-Front.jpg?v=1730250023
Toxic Socks Soy Candle,https://sweetdisorder.co.nz/cdn/shop/files/Scent-Dispensary_Product-Images_Toxic-Socks-Front.jpg?v=1730251250
Worlds Best Nana,https://sweetdisorder.co.nz/cdn/shop/files/ProductImages_Badges2026_0008_WorldsBestNana03.jpg?v=1773884498
Brain Power Pills,https://sweetdisorder.co.nz/cdn/shop/files/Brain-Power-Pills-02.jpg?v=1718445394
Bullshit Blockers,https://sweetdisorder.co.nz/cdn/shop/files/BullshitBlockers02.jpg?v=1773687020
Bullshit Treatment,https://sweetdisorder.co.nz/cdn/shop/files/ProductImages_Treatmints2025_0006_Bullshit01.jpg?v=1757290414
