sku,rank,units_total
SDP48,1,2482
SDP47,2,2427
SDP49,3,2179
SDP31,4,1667
SDP91,5,1398
SDP41,6,1265
SDK15,7,1262
SDP81,8,1258
SDP92,9,1216
SDP95,10,1132
SDP94,11,1009
SDT002,12,993
SDT003,13,981
SDP61,14,879
SDK11,15,812
SDP93,16,806
SDP84,17,802
SDP74,18,797
SDP76,19,738
SDP89,20,734
SDP55,21,727
SDT001,23,693
SDP63,24,678
SDP68,25,652
SDP108,26,541
SDP107,30,458
SDK08,32,417
SDT005,33,415
SDP20,34,415
SDT004,35,401
SDT007,39,388
SDP33,40,367
SDP46,41,361
SDP103,42,330
SDP65,46,314
SDK10,57,257
SDP18,60,231
SDP96,61,227
SDP71,62,227
SDP97,63,224
SDAB01,68,209
SDP110,70,191
SDP75,87,164
SDP112,88,164
SDP99,128,96
CL08,138,77
CL07,141,72
SDP24,143,70
CL02,147,67
SDK01,149,61
CL05,151,61
CL10,153,56
CL01,165,45
CL06,173,35
SDP90,207,6
