name,sku,price_nz,price_au
Acid Drops,CL01,7.65,7.85
A**hole antidote,SDP81,7.65,7.85
Aniseed Balls,CL08,7.65,7.85
Another Year Wiser,SDP89,7.65,7.85
Anti-aging Supplements,SDP76,7.65,7.85
Anti-Fatigue Formula,SDP40,7.65,
AROHA,SDK11,7.65,
A Taste of Aotearoa New Zealand,SDK15,7.65,
Barley Sugar,CL03,7.65,7.85
Bear Hugs,SDP49,7.65,7.85
Black Balls,CL04,7.65,7.85
Bogan Blockers,SDK01,7.65,7.85
Booster Shots,SDP70,7.65,
Brain Power Pills,SDP75,7.65,7.85
Bullshit Blockers,,7.65,7.85
Bullshit Treatment,SDT003,5.00,5.00
Butterscotch,CL10,7.65,7.85
Chill Out Treatmint,SDT005,5.00,5.00
Chill Pills,SDP61,7.65,7.85
Common Sense Substitute,SDP107,7.65,7.85
Dad Bod Formula,SDP74,7.65,7.85
Dad Joke Enhancers,SDP41,7.65,7.85
Dumbfuckery Formula,SDP94,7.65,7.85
Dumbfuckery Treatment,SDT002,5.00,5.00
Energy Boosters,SDP99,7.65,7.85
Fart Suppressants,SDP48,7.65,7.85
FOMO Formula - NEW,SDP112,7.65,7.85
Frresh As Treatmint,SDT006,5.00,
Fruit Balls,CL06,7.65,7.85
Fruit Jubes,CL11,7.65,7.85
Fruit Rocks,CL07,7.65,7.85
Fucktard Remedy,SDP95,7.65,7.85
G.O.A.T,SDP100,7.65,7.85
Granny Mints,CL05,7.65,7.85
Grow Some Balls,SDP18,7.65,7.85
Grumpiness Treatment,SDT001,5.00,5.00
"Happy Wife, Happy Life",SDP55,7.65,7.85
Hot flush Formula,SDP92,7.65,7.85
Humbugs,CL02,7.65,7.85
I like you more than a lot Lozenges,SDP24,7.65,
Jar of Happiness,SDP84,7.65,7.85
Kick Ass Treatmint,SDT004,5.00,5.00
Lost As F*ck,SDT007,5.00,5.00
Love Bites,SDP69,7.65,7.85
Man Flu Formula - NEW,SDP113,7.65,7.85
"Man Look Remedy  - NEW",SDP111,7.65,7.85
Mullet and Mo Enhancers,SDP97,7.65,
Nozempic - NEW,SDP110,7.65,7.85
On-Purpose Pills,SDP17,7.65,
Over the Hill Pills,SDP63,7.65,7.85
Pack A Sad Stoppers,SDK09,7.65,
Perspective Pills,SDP19,7.65,
Piece Of Piss Pills,SDK08,7.65,
Positivity Pills,SDP65,7.65,7.85
Procrastination Pills,SDP96,7.65,7.85
Pure Heroine,SDP46,7.65,7.85
Rapid Recovery,SDP71,7.65,7.85
Rise to the occasion,SDP64,7.65,7.85
Road Rage Reducers,SDP68,7.65,7.85
"Say ""No"" Pills",SDP88,7.65,
"Say""Yes"" Pills",SDP87,7.65,
Senior Moment Suppressants,SDP31,7.65,7.85
Shits & Giggles,SDP108,7.65,7.85
Snore Stoppers,SDP93,7.65,7.85
Stop the Whining Gums,SDP33,7.65,7.85
Stress Relievers,SDP25,7.65,7.85
Study Surge Supplement,SDP34,7.65,
Suck It Up Candy,SDP20,7.65,7.85
Three Little Words,SDP90,7.65,7.85
Total Badass,SDP103,7.65,7.85
"Yeah, Nah Lozenges",SDK10,7.65,
You Nailed It Nuggets,SDP28,7.65,7.85
You're the best,SDP91,7.65,7.85
You Rock,SDP47,7.65,7.85
